european_african_conquest_short;Scramble for Africa Conquest;;;;;;;;;;;;;x
european_african_conquest_desc;Annex an uncivilized Sub-Saharan African country with greatly reduced infamy costs.;;;;;;;;;;;;;x
demand_chinese_concession_casus_belli;Demand Chinese Concession;;;;;;;;;;;;;x
demand_chinese_concession_casus_belli_setup;Demand Chinese Concession;;;;;;;;;;;;;x
demand_chinese_concession_casus_belli_short;Demand Chinese Concession;;;;;;;;;;;;;x
demand_chinese_concession_casus_belli_desc;Take a treaty port from China.;;;;;;;;;;;;;x
opium_war;Opium War;;;;;;;;;;;;;x
opium_war_setup;Force an unequal treaty.;;;;;;;;;;;;;x
opium_war_short;Force an unequal treaty.;;;;;;;;;;;;;x
opium_war_desc;This cb will give us the "Unequal Chinese Treaty" modifier that gives +10% tax efficiency while giving China the "Opium Addiction" modifier. If China owns Hong Kong they will also be forced to cede that province to us.;;;;;;;;;;;;;x
NORMAL_OPIUM_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Opium War;;;;;;;;;;;;;;;;;;;;x
AGRESSION_OPIUM_WAR_NAME;$ORDER$$FIRST$-$SECOND$ Opium War;;;;;;;;;;;;;;;;;;;;x
blockade;Blockade;;;;;;;;;;;;;;;;;;;;x
blockade_setup;Setup a blockade around country and prevent it from getting immigrants.;;;;;;;;;;;;;;;;;;;;x
blockade_short;Setup a blockade around country and prevent it from getting immigrants.;;;;;;;;;;;;;;;;;;;;x
blockade_desc;This cb adds a negative modifier to immigrant attraction to the target nation.;;;;;;;;;;;;;;;;;;;;x
blockaded;Blockaded;;;;;;;;;;;;;;;;;;;;x
blockaded_desc;Immigrants are unable to reach our shores due to the ongoing blockade.;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_setup;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_short;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_bellidesc;Annex an uncivilized nation with less than 150k POPs.;;;;;;;;;;;;;;;;;;;;x
NORMAL_WAR_BLOCKADE_NAME;$ORDER$$FIRST$ Blockade of $SECOND$;;;;;;;;;;;;;;;;;;;;x
AGRESSION_WAR_BLOCKADE_NAME;$ORDER$$FIRST$ Blockade of $SECOND$;;;;;;;;;;;;;;;;;;;;x
free_balkans;Liberate the Balkans;;;;;;;;;;;;;x
free_balkans_setup;Liberate the Balkans;;;;;;;;;;;;;x
free_balkans_short;Liberate the Balkans;;;;;;;;;;;;;x
free_balkans_desc;This cb will liberate the territoties Bulgaria, Romania, and Serbia from the Ottoman Empire.;;;;;;;;;;;;;x
NORMAL_FREE_BALKANS_NAME;Russo-Turkish War;;;;;;;;;;;;;;;;;;;;x
AGRESSION_FREE_BALKANS_NAME;Balkan War;;;;;;;;;;;;;;;;;;;;x
platine_war;Platine War;;;;;;;;;;;;;x
platine_war_setup;Establish control over Platinean breakaway states.;;;;;;;;;;;;;x
platine_war_short;Establish control over Platinean breakaway states.;;;;;;;;;;;;;x
platine_war_desc;This cb will annex the territoties of Entre Rios and Corrientes.;;;;;;;;;;;;;x
NORMAL_PLATINE_WAR_NAME;The Platine War;;;;;;;;;;;;;;;;;;;;x
AGRESSION_PLATINE_WAR_NAME;The Platine War;;;;;;;;;;;;;;;;;;;;x
chincha_war;Chincha Islands War;;;;;;;;;;;;;x
chincha_war_setup;Acquire Chincha Islands.;;;;;;;;;;;;;x
chincha_war_short;Acquire Chincha Islands.;;;;;;;;;;;;;x
chincha_war_desc;This cb will annex the Chincha Islands.;;;;;;;;;;;;;x
NORMAL_CHINCHA_WAR_NAME;The Chincha Islands War;;;;;;;;;;;;;;;;;;;;x
AGRESSION_CHINCHA_WAR_NAME;The Chincha Islands War;;;;;;;;;;;;;;;;;;;;x
paraguayan_war;Paraguayan War;;;;;;;;;;;;;x
paraguayan_war_setup;Establish dominance over Río de la Plata.;;;;;;;;;;;;;x
paraguayan_war_short;Establish dominance over Río de la Plata.;;;;;;;;;;;;;x
paraguayan_war_desc;This cb will liberate the territoties the Río de la Plata basin.;;;;;;;;;;;;;x
NORMAL_PARAGUAYAN_WAR_NAME;War of the Triple Alliance;;;;;;;;;;;;;;;;;;;;x
AGRESSION_PARAGUAYAN_WAR_NAME;War of the Triple Alliance;;;;;;;;;;;;;;;;;;;;x
AGRESSION_WAR_PUPPET_NAME;$ORDER$War of $FIRST$ Control Over $SECOND_COUNTRY$;$ORDER$ guerre de $FIRST$ pour le contrôle de $SECOND_COUNTRY$;$ORDER$ Krieg um die Kontrolle von $FIRST$ über $SECOND_COUNTRY$;;;;;;;;;;;x
demand_reparations;Demand Reparations;;;;;;;;;;;;;x
demand_reparations_desc;Force another §Ycountry§W to pay reparations to us;;;;;;;;;;;;;x
demand_reparations_short;Make $RECIPIENT$ pay reparations;;;;;;;;;;;;;x
demand_reparations_setup;Make $RECIPIENT$ pay reparations;;;;;;;;;;;;;x
restore_puppet_province;Acquire core for puppet;;;;;;;;;;;;;x
restore_puppet_province_desc;Retake a province for our puppet.;;;;;;;;;;;;;x
restore_puppet_province_short;Make $RECIPIENT$ transfer $STATE$ to a puppet.;;;;;;;;;;;;;x
restore_puppet_province_setup;Make $RECIPIENT$ transfer $STATE$ to a puppet.;;;;;;;;;;;;;x
NORMAL_CIVIL_WAR_NAME_JAP_TKG;The Boshin War;;;;;;;;;;;;;;;x
NORMAL_CIVIL_WAR_NAME_TKG_JAP;The Boshin War;;;;;;;;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME_JAP_TKG;The Boshin War;;;;;;;;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME_TKG_JAP;The Boshin War;;;;;;;;;;;;;;;x
remove_cores;Remove Cores;;;;;;;;;;;;;;;x
remove_cores_desc;Remove Cores;;;;;;;;;;;;;;;x
remove_cores_short;Make $RECIPIENT$ remove cores on $THIRD$;;;;;;;;;;;;;;;x
remove_cores_setup;Remove cores on $THIRD$;;;;;;;;;;;;;;;x
EVTNAME2561;Defeat in $FROMCOUNTRY_ADJ$ War of Independence;;;;;;;;;;;;;;;x
EVTDESC2561;We could not restore order in $FROMCOUNTRY$ and as a result we have lost all claims on them.;;;;;;;;;;;;;;;x
EVTOPTA2561;Damn.;;;;;;;;;;;;;;;x
unciv_research_points_on_conquer;Research Points From Conquest Bonus;;;;;;;;;;;;;;;x
tiny_nation;Tiny Nation;;;;;;;;;;;;;x
small_nation;Small Nation;;;;;;;;;;;;;x
medium_nation;Medium Nation;;;;;;;;;;;;;x
average_nation_tariffs;Average Nation Tariff Cap;;;;;;;;;;;;;x
large_nation;Large Nation;;;;;;;;;;;;;x
large_nation_tariffs;Large Nation Tariff Cap;;;;;;;;;;;;;x
empire;Empire;;;;;;;;;;;;;x
empire_tariffs;Empire Tariff Cap;;;;;;;;;;;;;x
superpower;Superpower;;;;;;;;;;;;;x
superpower_tariffs;Superpower Tariff Cap;;;;;;;;;;;;;x
hegemon;Hegemon;;;;;;;;;;;;;x
hegemon_desc;Our hegemony will persist so long as we remain the 1st ranked great power.;;;;;;;;;;;;;x
hegemony_countdown;Hegemony Countdown;;;;;;;;;;;;;x
hegemony_countdown_desc;If we do not regain #1 rank by the time this timer runs out, the Hegemon modifier will be removed from this country and given to the new #1 great power.;;;;;;;;;;;;;x
sphereling_tax_bonus;Sphereling Tax Buff;;;;;;;;;;;;;x
great_power_immigration;GP Immigration Attract Bonus;;;;;;;;;;;;;x
save_the_nation0.5;Revanchism;;;;;;;;;;;;;x
save_the_nation1;Revanchism;;;;;;;;;;;;;x
save_the_nation1.5;Revanchism;;;;;;;;;;;;;x
save_the_nation2;Revanchism;;;;;;;;;;;;;x
save_the_nation2.5;Revanchism;;;;;;;;;;;;;x
save_the_nation3;Revanchism;;;;;;;;;;;;;x
save_the_nation3.5;Revanchism;;;;;;;;;;;;;x
save_the_nation4;Revanchism;;;;;;;;;;;;;x
save_the_nation4.5;Revanchism;;;;;;;;;;;;;x
save_the_nation5;Revanchism;;;;;;;;;;;;;x
save_the_nation0.5_china;Revanchism;;;;;;;;;;;;;x
save_the_nation1_china;Revanchism;;;;;;;;;;;;;x
save_the_nation1.5_china;Revanchism;;;;;;;;;;;;;x
save_the_nation2_china;Revanchism;;;;;;;;;;;;;x
save_the_nation2.5_china;Revanchism;;;;;;;;;;;;;x
save_the_nation3_china;Revanchism;;;;;;;;;;;;;x
save_the_nation3.5_china;Revanchism;;;;;;;;;;;;;x
save_the_nation4_china;Revanchism;;;;;;;;;;;;;x
save_the_nation4.5_china;Revanchism;;;;;;;;;;;;;x
save_the_nation5_china;Revanchism;;;;;;;;;;;;;x
one_year_draft;One Year Draft;;;;;;;;;;;;;x
two_year_draft;Two Year Draft;;;;;;;;;;;;;x
four_year_draft;Four Year Draft;;;;;;;;;;;;;x
mandatory_service;Mandatory Service;;;;;;;;;;;;;x
regionalism;Regionalism;;;;;;;;;;;;;x
totalitarianism;Totalitarianism;;;;;;;;;;;;;x
confederalism;Confederalism;;;;;;;;;;;;;x
one_year_draft_china;One Year Draft;;;;;;;;;;;;;x
two_year_draft_china;Two Year Draft;;;;;;;;;;;;;x
four_year_draft_china;Four Year Draft;;;;;;;;;;;;;x
mandatory_service_china;Mandatory Service;;;;;;;;;;;;;x
regionalism_china;Regionalism;;;;;;;;;;;;;x
totalitarianism_china;Totalitarianism;;;;;;;;;;;;;x
confederalism_china;Confederalism;;;;;;;;;;;;;x
mob1;Levée en Masse §G+2 Mob Size;;;;;;;;;;;;;x
mob1_desc;A French term used for a policy of mass national conscription, often in the face of invasion. The concept originated during the French Revolutionary Wars where it formed an integral part of the creation of national identity, making it distinct from forms of conscription which had existed before this date. 
mob2;Mobilization Time Tables §G+1 Mob Size;;;;;;;;;;;;;x
mob2_desc;By pre-planning mobilization, all reserve units had set mobilization areas and time tables for getting equipment, boarding trains, and frontal marching routes. This sped up the mobilization vastly.;;;;;;;;;;;;;x
mob3;Personnel Category Tables §G+1 Mob Size;;;;;;;;;;;;;x
mob3_desc;These tables categorized tasks, position, etc. so that it was easy in peace time to place personnel into combat formations. During mobilization the process was sped up as it was easy to know which soldier was to go to what company.;;;;;;;;;;;;;x
mob4;Staff Command Support §G+1 Mob Size;;;;;;;;;;;;;x
mob4_desc;The introduction of working staffs at lower echelon units was a spin off from having an effective and functional General Staff. Soon all units had staffs that supported their leaders.;;;;;;;;;;;;;x
mob5;Railroad Transport Groups §G+2 Mob Size;;;;;;;;;;;;;x
mob5_desc;At this point specialists formed certain groups that serviced specialized railroad units. These could quickly load and reload trains and service the full movement of army units.;;;;;;;;;;;;;x
mob1_trigger;Levée en Masse;;;;;;;;;;;;;x
mob2_trigger;Mobilization Time Tables;;;;;;;;;;;;;x
mob3_trigger;Personnel Category Tables;;;;;;;;;;;;;x
mob4_trigger;Staff Command Support;;;;;;;;;;;;;x
mob5_trigger;Railroad Transport Groups;;;;;;;;;;;;;x
mob1_china_trigger;Levée en Masse;;;;;;;;;;;;;x
mob2_china_trigger;Mobilization Time Tables;;;;;;;;;;;;;x
mob3_china_trigger;Personnel Category Tables;;;;;;;;;;;;;x
mob4_china_trigger;Staff Command Support;;;;;;;;;;;;;x
mob5_china_trigger;Railroad Transport Groups;;;;;;;;;;;;;x
taxation_1890;Midgame Taxation Cap;;;;;;;;;;;;;x
non_free_trade_tariffs_1890;Protectionism Midagme Tariff Cap;;;;;;;;;;;;;x
free_trade_tariffs_1890;Free Trade Midagme Tariff Cap;;;;;;;;;;;;;x
taxation_1910;Lategame Taxation Cap;;;;;;;;;;;;;x
non_free_trade_tariffs_1910;Protectionism Lategame Tariff Cap;;;;;;;;;;;;;x
free_trade_tariffs_1910;Free Trade Lategame Tariff Cap;;;;;;;;;;;;;x
badboy1;25 Infamy Penalty;;;;;;;;;;;;;x
badboy2;30 Infamy Penalty;;;;;;;;;;;;;x
badboy3;35 Infamy Penalty;;;;;;;;;;;;;x
badboy4;40 Infamy Penalty;;;;;;;;;;;;;x
badboy5;45 Infamy Penalty;;;;;;;;;;;;;x
badboy6;50+ Infamy Penalty;;;;;;;;;;;;;x
administrative_points;Administrative Points;;;;;;;;;x;;;;
province_selector;Province Selector;;;;;;;;;;;;;;;;;;;;;;;;;;;x
PS_unlocked;PS Building Unlocked;;;;;;;;;;;;;x
PS_unlocked_desc;You can now build Province Selector buildings.;;;;;;;;;;;;;x
switch_to_traditional_academic_title;§YRestore The Academia;Rétablir l'académie;Akademische Ausrichtung wiederherstellen;;Restauración de la academia;;;;;;;;;x
switch_to_army_tech_title;§YMilitary-Industrial Complex;Complexe militaro-industriel;Militärisch-industrieller Komplex;;Complejo industrial militar;;;;;;;;;x
switch_to_navy_tech_title;§YSea power & The Merchant Marine;Puissance maritime & marine marchande;Seemacht & die Handelsmarine;;El Poder marítimo y la Marina Mercante;;;;;;;;;x
switch_to_culture_tech_title;§YAvantgarde Intelligentsia;Intelligentsia d'avant-garde;Avantgardistische Intelligentsia;;Intelectualidad de vanguardia;;;;;;;;;x
switch_to_trade_tech_title;§YTycoon Capitalism & Business Schools;Capitalisme poussé et écoles commerciales;Magnats-Kapitalismus & Kaufmannsschulen;;Escuelas de negocios y magnates del Capitalismo;;;;;;;;;x
switch_to_industry_tech_title;§YCorporative Industrialism;Industrialisme corporatif;Kooperativer Industrialismus;;Industrialismo corporativo;;;;;;;;;x
z1manage_grants_title;§YManage Money Grants and Military Supplies Aid;;;;;;;;;;;;;x
z1manage_grants_desc;Triggers an event that lets you enable giving grants, deny giving grants, or request money and military goods from other human players.;;;;;;;;;;;;;x
requested_grant;Requested Grant;;;;;;;;;;;;;x
requested_grant_desc;We have recently requested a grant and must wait awhile before asking for another one.;;;;;;;;;;;;;x
zcraftsmen_on_title;§YEnable Non-Accepted Culture Craftsmen Promotion;;;;;;;;;;;;;x
zcraftsmen_on_desc;Allow non-accepted culture POPs to promote into craftsmen. This can be used to prevent the craftsmen assimilation glitch or set up your own craftsmen glitch in specific provinces.;;;;;;;;;;;;;x
zcraftsmen_off_title;§YDisable Non-Accepted Culture Craftsmen Promotion;;;;;;;;;;;;;x
zcraftsmen_off_desc;Prevent non-accepted culture POPs from promoting into craftsmen. This can be used to prevent the craftsmen assimilation glitch or set up your own craftsmen glitch in specific provinces.;;;;;;;;;;;;;x
disable_non_accepted_craftsmen;Disable Non-Accepted Craftsmen;;;;;;;;;;;;;x
recently_requested_trade;Requesting Trade Deal;;;;;;;;;;;;;x
recently_requested_trade_desc;We have sent out offers of trade to the world, now we must wait for a response.;;;;;;;;;;;;;x
choose_trade_good_title;§YChoose Goods to Send;;;;;;;;;;;;;x
choose_trade_good_desc;You must have the §Y"Allow pops/factories to buy from stockpile"§W button turned §ROFF§W while sending goods. Your trading partner must have this button turned §GON§W, and should not manually buy or sell goods while it is turned on or they risk crashing the world market. Only one country in the trade agreement should send goods at a time.;;;;;;;;;;;;;x
request_trade_deal_title;§YRequest Trade Deal;;;;;;;;;;;;;x
request_trade_deal_desc;We can request to set up a trading deal with another human controlled country. When two countries enter into a trading deal, a decision will appear for both countries that will allow them to send goods to each other directly from their stockpile. You can only have one trading partner at one time, and there can only be 15 trading agreements globally at any time.;;;;;;;;;;;;;x
accept_trade_deal_1_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_1_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_2_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_2_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_3_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_3_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_4_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_4_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_5_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_5_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_6_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_6_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_7_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_7_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_8_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_8_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_9_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_9_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_10_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_10_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_11_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_11_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_12_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_12_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_13_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_13_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_14_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_14_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_15_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_15_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_16_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_16_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_17_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_17_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_18_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_18_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_19_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_19_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_20_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_20_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_21_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_21_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_22_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_22_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_23_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_23_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_24_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_24_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_25_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_25_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_26_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_26_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_27_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_27_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_28_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_28_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_29_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_29_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_30_title;§YAccept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_30_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
cancel_trade_agreements_1_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_1_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_2_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_2_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_3_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_3_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_4_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_4_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_5_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_5_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_6_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_6_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_7_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_7_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_8_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_8_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_9_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_9_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_10_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_10_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_11_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_11_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_12_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_12_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_13_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_13_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_14_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_14_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_15_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_15_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_16_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_16_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_17_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_17_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_18_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_18_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_19_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_19_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_20_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_20_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_21_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_21_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_22_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_22_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_23_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_23_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_24_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_24_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_25_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_25_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_26_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_26_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_27_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_27_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_28_title;§YCancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_28_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
